2024-03-01 35.2
2024-03-02 37.1
2024-03-03 38.5
2024-03-04 36.8
2024-03-05 39.2
2024-03-06 40.5
2024-03-07 41.3
2024-03-01 35.3
2024-03-02 37.2
2024-03-03 38.6
2024-03-04 36.9
2024-03-05 39.3
2024-03-06 40.6
2024-03-01 35.3
2024-03-02 37.2
2024-03-03 38.6
2024-03-04 36.9
2024-03-05 39.3
2024-03-06 40.6
2024-03-07 41.4
2024-03-01 35.4
2024-03-02 37.3
2024-03-03 38.7
2024-03-04 36.10
2024-03-05 39.4
2024-03-06 40.7
2024-03-01 35.3
2024-03-02 37.2
2024-03-03 38.6
2024-03-04 36.9
2024-03-01 35.3
2024-03-02 37.2
2024-03-03 38.6
2024-03-04 36.9
2024-03-05 39.3
2024-03-06 40.6
2024-03-07 41.4
2024-03-01 35.4
2024-03-02 37.3
2024-03-03 38.7
2024-03-04 36.10
2024-03-05 39.4
2024-03-06 40.7
2024-03-01 35.4
2024-03-02 37.3
2024-03-03 38.7
2024-03-04 36.10
2024-03-05 39.4
2024-03-06 40.7
2024-03-07 41.5
